gender|age_group|education|teaor_name|county|count|teaor_code
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Művészet, szórakoztatás, szabad idő|Budapest|36|R
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Egyéb szolgáltatás|Budapest|72|S
Férfi|25–29 éves|Érettségi|Mezőgazdaság, erdőgazdálkodás, halászat|Budapest|93|A
Férfi|25–29 éves|Érettségi|Bányászat, kőfejtés|Budapest|14|B
Férfi|25–29 éves|Érettségi|Feldolgozóipar|Budapest|2063|C
Férfi|25–29 éves|Érettségi|Villamosenergia-, gáz-, gőzellátás, légkondicionálás|Budapest|118|D
Férfi|25–29 éves|Érettségi|Vízellátás; szennyvíz gyűjtése, kezelése, hulladékgazdálkodás, szennyeződésmentesítés|Budapest|70|E
Férfi|25–29 éves|Érettségi|Építőipar|Budapest|1588|F
Férfi|25–29 éves|Érettségi|Kereskedelem, gépjárműjavítás|Budapest|3296|G
Férfi|25–29 éves|Érettségi|Szállítás, raktározás|Budapest|2023|H
Férfi|25–29 éves|Érettségi|Szálláshely-szolgáltatás, vendéglátás|Budapest|1869|I
Férfi|25–29 éves|Érettségi|Információ, kommunikáció|Budapest|2480|J
Férfi|25–29 éves|Érettségi|Pénzügyi, biztosítási tevékenység|Budapest|688|K
Férfi|25–29 éves|Érettségi|Ingatlanügyletek|Budapest|204|L
Férfi|25–29 éves|Érettségi|Szakmai, tudományos, műszaki tevékenység|Budapest|1204|M
Férfi|25–29 éves|Érettségi|Adminisztratív és szolgáltatást támogató tevékenység|Budapest|1371|N
Férfi|25–29 éves|Érettségi|Közigazgatás, védelem; kötelező társadalombiztosítás|Budapest|937|O
Férfi|25–29 éves|Érettségi|Oktatás|Budapest|360|P
Férfi|25–29 éves|Érettségi|Humán-egészségügyi, szociális ellátás|Budapest|412|Q
Férfi|25–29 éves|Érettségi|Művészet, szórakoztatás, szabad idő|Budapest|710|R
Férfi|25–29 éves|Érettségi|Egyéb szolgáltatás|Budapest|428|S
Férfi|25–29 éves|Érettségi|Háztartás munkaadói tevékenysége; termék előállítása, szolgáltatás végzése saját fogyasztásra|Budapest|14|T
Férfi|25–29 éves|Egyetem, főiskola stb. oklevéllel|Mezőgazdaság, erdőgazdálkodás, halászat|Budapest|74|A
Férfi|25–29 éves|Egyetem, főiskola stb. oklevéllel|Bányászat, kőfejtés|Budapest|49|B
Férfi|25–29 éves|Egyetem, főiskola stb. oklevéllel|Feldolgozóipar|Budapest|2814|C
Férfi|25–29 éves|Egyetem, főiskola stb. oklevéllel|Villamosenergia-, gáz-, gőzellátás, légkondicionálás|Budapest|292|D
